repo,user,filtered_location,total_contributors_for_repo,non_target_country_contributors
freeCodeCamp/freeCodeCamp,raisedadead,India,384,262
freeCodeCamp/freeCodeCamp,SaintPeter,United States,384,262
freeCodeCamp/freeCodeCamp,ltegman,United States,384,262
freeCodeCamp/freeCodeCamp,erictleung,United States,384,262
freeCodeCamp/freeCodeCamp,QuincyLarson,United States,384,262
freeCodeCamp/freeCodeCamp,RandellDawson,United States,384,262
freeCodeCamp/freeCodeCamp,abhisekp,India,384,262
freeCodeCamp/freeCodeCamp,Manish-Giri,United States,384,262
freeCodeCamp/freeCodeCamp,thecodingaviator,United States,384,262
freeCodeCamp/freeCodeCamp,no-stack-dub-sack,United States,384,262
freeCodeCamp/freeCodeCamp,beaucarnes,United States,384,262
freeCodeCamp/freeCodeCamp,AryanJ-NYC,United States,384,262
freeCodeCamp/freeCodeCamp,iamrajiv,India,384,262
freeCodeCamp/freeCodeCamp,jeremylt,United States,384,262
freeCodeCamp/freeCodeCamp,CleoAguiar,Brazil,384,262
freeCodeCamp/freeCodeCamp,JosephLivengood,United States,384,262
freeCodeCamp/freeCodeCamp,NitronR,India,384,262
freeCodeCamp/freeCodeCamp,patsul12,United States,384,262
freeCodeCamp/freeCodeCamp,ezioda004,India,384,262
freeCodeCamp/freeCodeCamp,weilirs,United States,384,262
freeCodeCamp/freeCodeCamp,RafaelDavisH,United States,384,262
freeCodeCamp/freeCodeCamp,TyMick,United States,384,262
freeCodeCamp/freeCodeCamp,aldraco,United States,384,262
freeCodeCamp/freeCodeCamp,vkWeb,India,384,262
freeCodeCamp/freeCodeCamp,joel-bentley,United States,384,262
freeCodeCamp/freeCodeCamp,nayabatir1,India,384,262
freeCodeCamp/freeCodeCamp,MGenteluci,Brazil,384,262
freeCodeCamp/freeCodeCamp,joshalling,United States,384,262
freeCodeCamp/freeCodeCamp,sahilkhurana19,India,384,262
freeCodeCamp/freeCodeCamp,brandenbyers,United States,384,262
freeCodeCamp/freeCodeCamp,thecaffeinedev,India,384,262
freeCodeCamp/freeCodeCamp,brenoxav,Brazil,384,262
freeCodeCamp/freeCodeCamp,cmccormack,United States,384,262
freeCodeCamp/freeCodeCamp,SudhakarKuma,India,384,262
freeCodeCamp/freeCodeCamp,LenaBarinova,United States,384,262
freeCodeCamp/freeCodeCamp,Ethan-Arrowood,United States,384,262
freeCodeCamp/freeCodeCamp,pbnj,United States,384,262
freeCodeCamp/freeCodeCamp,tcyrus,United States,384,262
freeCodeCamp/freeCodeCamp,robbawebba,United States,384,262
freeCodeCamp/freeCodeCamp,alexch,United States,384,262
freeCodeCamp/freeCodeCamp,tannerabread,United States,384,262
freeCodeCamp/freeCodeCamp,Kernix13,United States,384,262
freeCodeCamp/freeCodeCamp,KartikSoneji,India,384,262
freeCodeCamp/freeCodeCamp,ninadingole,Germany,384,262
freeCodeCamp/freeCodeCamp,rahulsuresh-git,United States,384,262
freeCodeCamp/freeCodeCamp,Riya267,India,384,262
freeCodeCamp/freeCodeCamp,DylanDevelops,United States,384,262
freeCodeCamp/freeCodeCamp,alfredojry,Brazil,384,262
freeCodeCamp/freeCodeCamp,kelvinsanchez15,United States,384,262
freeCodeCamp/freeCodeCamp,mtrifilo,United States,384,262
freeCodeCamp/freeCodeCamp,MohamadSalman11,Germany,384,262
freeCodeCamp/freeCodeCamp,NatashaHaggard,United States,384,262
freeCodeCamp/freeCodeCamp,S1ngS1ng,United States,384,262
freeCodeCamp/freeCodeCamp,richard937,India,384,262
freeCodeCamp/freeCodeCamp,victor-duarte,United States,384,262
freeCodeCamp/freeCodeCamp,kalmufti,United States,384,262
freeCodeCamp/freeCodeCamp,JordanMooree,United States,384,262
freeCodeCamp/freeCodeCamp,ficarvalho,Brazil,384,262
freeCodeCamp/freeCodeCamp,kurzninja,United States,384,262
freeCodeCamp/freeCodeCamp,shubhshrma,India,384,262
freeCodeCamp/freeCodeCamp,tanmaygautam11,India,384,262
freeCodeCamp/freeCodeCamp,kindhartcoding,United States,384,262
freeCodeCamp/freeCodeCamp,avastu,United States,384,262
freeCodeCamp/freeCodeCamp,varunzxzx,India,384,262
freeCodeCamp/freeCodeCamp,westonplatter,United States,384,262
freeCodeCamp/freeCodeCamp,krantzinator,United States,384,262
freeCodeCamp/freeCodeCamp,ankitaggarwal011,United States,384,262
freeCodeCamp/freeCodeCamp,ShaggyTech,United States,384,262
freeCodeCamp/freeCodeCamp,carolinaknoll,Brazil,384,262
freeCodeCamp/freeCodeCamp,dakshshah96,India,384,262
freeCodeCamp/freeCodeCamp,jnmorse,United States,384,262
freeCodeCamp/freeCodeCamp,Nitin96Bisht,India,384,262
freeCodeCamp/freeCodeCamp,sagarjhaa,United States,384,262
freeCodeCamp/freeCodeCamp,samanthakem,United States,384,262
freeCodeCamp/freeCodeCamp,sayaliKutwal,India,384,262
freeCodeCamp/freeCodeCamp,scotran,United States,384,262
freeCodeCamp/freeCodeCamp,thegodland,United States,384,262
freeCodeCamp/freeCodeCamp,Shiva-Sai-ssb,India,384,262
freeCodeCamp/freeCodeCamp,Thyago,Germany,384,262
freeCodeCamp/freeCodeCamp,VegaDeftwing,United States,384,262
freeCodeCamp/freeCodeCamp,anku255,India,384,262
freeCodeCamp/freeCodeCamp,emerconn,United States,384,262
freeCodeCamp/freeCodeCamp,prateekgoel,India,384,262
freeCodeCamp/freeCodeCamp,oalhait,United States,384,262
freeCodeCamp/freeCodeCamp,valenzsa,United States,384,262
freeCodeCamp/freeCodeCamp,sanskriti2005,India,384,262
freeCodeCamp/freeCodeCamp,NolanChan,United States,384,262
freeCodeCamp/freeCodeCamp,hegdenischay,India,384,262
freeCodeCamp/freeCodeCamp,ncaron,Germany,384,262
freeCodeCamp/freeCodeCamp,wilstenholme,United States,384,262
freeCodeCamp/freeCodeCamp,sonorangirl,United States,384,262
freeCodeCamp/freeCodeCamp,evertonrbraga,Brazil,384,262
freeCodeCamp/freeCodeCamp,treece,United States,384,262
freeCodeCamp/freeCodeCamp,Ajay-2005,India,384,262
