repo,user,filtered_location,total_contributors_for_repo,non_target_country_contributors
octocat/Hello-World,octocat,United States,3,2
github/training-kit,beardofedu,United States,143,94
github/training-kit,brianamarie,Germany,143,94
github/training-kit,hectorsector,United States,143,94
github/training-kit,hollenberry,United States,143,94
github/training-kit,crichID,United States,143,94
github/training-kit,parkerbxyz,United States,143,94
github/training-kit,randomecho,United States,143,94
github/training-kit,afeld,United States,143,94
github/training-kit,lucie-docs,Germany,143,94
github/training-kit,bkimminich,Germany,143,94
github/training-kit,andres-mancera,United States,143,94
github/training-kit,PeterBell,United States,143,94
github/training-kit,hkasera,United States,143,94
github/training-kit,Deledrius,United States,143,94
github/training-kit,fadamiao,Brazil,143,94
github/training-kit,hcanna,United States,143,94
github/training-kit,leereilly,United States,143,94
github/training-kit,fayasnoushad,India,143,94
github/training-kit,gh0st,United States,143,94
github/training-kit,brandonrosage,United States,143,94
github/training-kit,Ashikpaul,India,143,94
github/training-kit,haacked,United States,143,94
github/training-kit,pkirlin,United States,143,94
github/training-kit,priyanka010392,India,143,94
github/training-kit,whatupfoo,United States,143,94
github/training-kit,rblcoder,India,143,94
github/training-kit,NishkarshRaj,United States,143,94
github/training-kit,mikerobards,United States,143,94
github/training-kit,marceloboeira,Brazil,143,94
github/training-kit,tterb,United States,143,94
github/training-kit,zeke,United States,143,94
github/training-kit,vineelsai26,India,143,94
github/training-kit,peterparkers,United States,143,94
github/training-kit,Sreyanth,United States,143,94
github/training-kit,shivaylamba,India,143,94
github/training-kit,Diptenusarkar,India,143,94
github/training-kit,Devrajsinh-Gohil,India,143,94
github/training-kit,denmch,United States,143,94
github/training-kit,rybak,Germany,143,94
github/training-kit,anastasiaeg,United States,143,94
github/training-kit,Alshurafa,United States,143,94
github/training-kit,Abhiknoldur,India,143,94
github/training-kit,cseas,India,143,94
github/training-kit,srabhayraj,India,143,94
github/training-kit,mainak-debnath,India,143,94
github/training-kit,ishanbagchi,India,143,94
github/training-kit,OrthoDex,United States,143,94
github/training-kit,hrishikesh-kadam,India,143,94
github/training-kit,harry-hov,India,143,94
