repo,user,filtered_location,total_contributors_for_repo,non_target_country_contributors
codecrafters-io/build-your-own-x,Marcosultymos,Brazil,132,115
codecrafters-io/build-your-own-x,RohithS98,India,132,115
codecrafters-io/build-your-own-x,ajaypremshankar,India,132,115
codecrafters-io/build-your-own-x,alexfloresveliz,United States,132,115
codecrafters-io/build-your-own-x,bauripalash,India,132,115
codecrafters-io/build-your-own-x,bsinky,United States,132,115
codecrafters-io/build-your-own-x,cliffordfajardo,United States,132,115
codecrafters-io/build-your-own-x,d,United States,132,115
codecrafters-io/build-your-own-x,danielbarnes175,United States,132,115
codecrafters-io/build-your-own-x,friendlymatthew,United States,132,115
codecrafters-io/build-your-own-x,gpressutto5,Brazil,132,115
codecrafters-io/build-your-own-x,kevmo314,United States,132,115
codecrafters-io/build-your-own-x,lotharschulz,Germany,132,115
codecrafters-io/build-your-own-x,mommde,Germany,132,115
codecrafters-io/build-your-own-x,nikita,United States,132,115
codecrafters-io/build-your-own-x,rohitpaulk,United States,132,115
codecrafters-io/build-your-own-x,vasanthk,United States,132,115
freeCodeCamp/freeCodeCamp,0xRajvardhan,India,5990,5299
freeCodeCamp/freeCodeCamp,13cbenjamin,United States,5990,5299
freeCodeCamp/freeCodeCamp,1711shashank,India,5990,5299
freeCodeCamp/freeCodeCamp,17AnuragMishra,India,5990,5299
freeCodeCamp/freeCodeCamp,1nc0gn30,United States,5990,5299
freeCodeCamp/freeCodeCamp,25Harry,India,5990,5299
freeCodeCamp/freeCodeCamp,318097,India,5990,5299
freeCodeCamp/freeCodeCamp,75072107,India,5990,5299
freeCodeCamp/freeCodeCamp,91aman,India,5990,5299
freeCodeCamp/freeCodeCamp,AJ-54,India,5990,5299
freeCodeCamp/freeCodeCamp,ANU5253,India,5990,5299
freeCodeCamp/freeCodeCamp,Aaditree,United States,5990,5299
freeCodeCamp/freeCodeCamp,Aaron-Lopez-Dev,United States,5990,5299
freeCodeCamp/freeCodeCamp,AaryanProthi,India,5990,5299
freeCodeCamp/freeCodeCamp,AbhinavTheDev,India,5990,5299
freeCodeCamp/freeCodeCamp,Abhisshek717,India,5990,5299
freeCodeCamp/freeCodeCamp,Aditya753b,India,5990,5299
freeCodeCamp/freeCodeCamp,AdityaVT,India,5990,5299
freeCodeCamp/freeCodeCamp,AkshatHotCode,India,5990,5299
freeCodeCamp/freeCodeCamp,AkshitAggarwal,India,5990,5299
freeCodeCamp/freeCodeCamp,AlexMNet,United States,5990,5299
freeCodeCamp/freeCodeCamp,AnarchistHoneybun,India,5990,5299
freeCodeCamp/freeCodeCamp,Andres-ibanez,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,AndyTBurke,United States,5990,5299
freeCodeCamp/freeCodeCamp,Angad-Godara,India,5990,5299
freeCodeCamp/freeCodeCamp,AnkitaSood,United States,5990,5299
freeCodeCamp/freeCodeCamp,Ankitchaudharyy,India,5990,5299
freeCodeCamp/freeCodeCamp,AnmolDh,India,5990,5299
freeCodeCamp/freeCodeCamp,Anurag5086,India,5990,5299
freeCodeCamp/freeCodeCamp,Anuran12,India,5990,5299
freeCodeCamp/freeCodeCamp,Anutosh1,India,5990,5299
freeCodeCamp/freeCodeCamp,ArielLeslie,United States,5990,5299
freeCodeCamp/freeCodeCamp,Arnav-2004,India,5990,5299
freeCodeCamp/freeCodeCamp,AryanBhirud,India,5990,5299
freeCodeCamp/freeCodeCamp,AsHwInIrp,India,5990,5299
freeCodeCamp/freeCodeCamp,Asifdecoder,India,5990,5299
freeCodeCamp/freeCodeCamp,Averand1,India,5990,5299
freeCodeCamp/freeCodeCamp,AyushShri,India,5990,5299
freeCodeCamp/freeCodeCamp,BLBarricklow,United States,5990,5299
freeCodeCamp/freeCodeCamp,BalanaguYashwanth,India,5990,5299
freeCodeCamp/freeCodeCamp,Blaze2305,India,5990,5299
freeCodeCamp/freeCodeCamp,Bradley,United States,5990,5299
freeCodeCamp/freeCodeCamp,BraveJhawk,United States,5990,5299
freeCodeCamp/freeCodeCamp,CBID2,United States,5990,5299
freeCodeCamp/freeCodeCamp,Catherinesjkim,United States,5990,5299
freeCodeCamp/freeCodeCamp,ChandaB,United States,5990,5299
freeCodeCamp/freeCodeCamp,CharmedSatyr,United States,5990,5299
freeCodeCamp/freeCodeCamp,Christina-Faulkner,United States,5990,5299
freeCodeCamp/freeCodeCamp,ClarkTravis,United States,5990,5299
freeCodeCamp/freeCodeCamp,Cyanidebob0,India,5990,5299
freeCodeCamp/freeCodeCamp,DCtheTall,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,DFwJZ,United States,5990,5299
freeCodeCamp/freeCodeCamp,DakotaV6,United States,5990,5299
freeCodeCamp/freeCodeCamp,DaniMarek,United States,5990,5299
freeCodeCamp/freeCodeCamp,DanielaKuester,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Dannyshien,United States,5990,5299
freeCodeCamp/freeCodeCamp,DavidNachman,United States,5990,5299
freeCodeCamp/freeCodeCamp,DeanTheReider,United States,5990,5299
freeCodeCamp/freeCodeCamp,Deep512,India,5990,5299
freeCodeCamp/freeCodeCamp,DivyaMaddipudi,United States,5990,5299
freeCodeCamp/freeCodeCamp,Dman247,United States,5990,5299
freeCodeCamp/freeCodeCamp,DylanDevelops,United States,5990,5299
freeCodeCamp/freeCodeCamp,EliSteger,United States,5990,5299
freeCodeCamp/freeCodeCamp,Et-008,India,5990,5299
freeCodeCamp/freeCodeCamp,FarisKarim,United States,5990,5299
freeCodeCamp/freeCodeCamp,Farissoliman,United States,5990,5299
freeCodeCamp/freeCodeCamp,FireFoxUserin,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Frost2204,India,5990,5299
freeCodeCamp/freeCodeCamp,Fubge,Germany,5990,5299
freeCodeCamp/freeCodeCamp,GauravSharmaCode,India,5990,5299
freeCodeCamp/freeCodeCamp,Geoff,United States,5990,5299
freeCodeCamp/freeCodeCamp,Girrajjangid,India,5990,5299
freeCodeCamp/freeCodeCamp,GiuseppeVarriale,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,Gunjan-vyas,India,5990,5299
freeCodeCamp/freeCodeCamp,Hahlh,Germany,5990,5299
freeCodeCamp/freeCodeCamp,HarshSachdeva01,India,5990,5299
freeCodeCamp/freeCodeCamp,HarshalHarle,India,5990,5299
freeCodeCamp/freeCodeCamp,Hoch3007,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Hritik-sharmaa,India,5990,5299
freeCodeCamp/freeCodeCamp,IbrahimKhanGH,United States,5990,5299
freeCodeCamp/freeCodeCamp,Irfan-Hussain107,India,5990,5299
freeCodeCamp/freeCodeCamp,ItsAbhinavM,India,5990,5299
freeCodeCamp/freeCodeCamp,JaceFrio,United States,5990,5299
freeCodeCamp/freeCodeCamp,JaiminPatel345,India,5990,5299
freeCodeCamp/freeCodeCamp,JapneetSingh5,India,5990,5299
freeCodeCamp/freeCodeCamp,Joe-Lalama,United States,5990,5299
freeCodeCamp/freeCodeCamp,JonDevOps,United States,5990,5299
freeCodeCamp/freeCodeCamp,JoseDeyvid,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,Jryke,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,JustARatherRidiculouslyLongUsername,India,5990,5299
freeCodeCamp/freeCodeCamp,Kashinathpat,India,5990,5299
freeCodeCamp/freeCodeCamp,KavitaR45,India,5990,5299
freeCodeCamp/freeCodeCamp,Kbarias,United States,5990,5299
freeCodeCamp/freeCodeCamp,Kenford20,United States,5990,5299
freeCodeCamp/freeCodeCamp,Kfairris,United States,5990,5299
freeCodeCamp/freeCodeCamp,L0MiN,Germany,5990,5299
freeCodeCamp/freeCodeCamp,LBWright,United States,5990,5299
freeCodeCamp/freeCodeCamp,LalitNarayanYadav,India,5990,5299
freeCodeCamp/freeCodeCamp,Lana-Lannister,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,Logan-47,India,5990,5299
freeCodeCamp/freeCodeCamp,Lxsthorne,United States,5990,5299
freeCodeCamp/freeCodeCamp,MWGitHub,United States,5990,5299
freeCodeCamp/freeCodeCamp,Macky151203,India,5990,5299
freeCodeCamp/freeCodeCamp,Mallikarjunople,India,5990,5299
freeCodeCamp/freeCodeCamp,Marcfogleman,United States,5990,5299
freeCodeCamp/freeCodeCamp,MatheusBarem,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,Matthew,United States,5990,5299
freeCodeCamp/freeCodeCamp,Meenakshi-Marree,India,5990,5299
freeCodeCamp/freeCodeCamp,Mephi78,Germany,5990,5299
freeCodeCamp/freeCodeCamp,MihirrajDixit,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Mikadifo,United States,5990,5299
freeCodeCamp/freeCodeCamp,Mir-SA,India,5990,5299
freeCodeCamp/freeCodeCamp,MohamadSalman11,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Mohwit,India,5990,5299
freeCodeCamp/freeCodeCamp,MrBrain295,United States,5990,5299
freeCodeCamp/freeCodeCamp,MuffDiddly,United States,5990,5299
freeCodeCamp/freeCodeCamp,Ne0nWinds,United States,5990,5299
freeCodeCamp/freeCodeCamp,Neha611,India,5990,5299
freeCodeCamp/freeCodeCamp,Ninjirate,United States,5990,5299
freeCodeCamp/freeCodeCamp,P1xt,United States,5990,5299
freeCodeCamp/freeCodeCamp,PRANJALI-SANKPAL,India,5990,5299
freeCodeCamp/freeCodeCamp,Paramesh-T-S,India,5990,5299
freeCodeCamp/freeCodeCamp,PawelKoronkiewicz,Germany,5990,5299
freeCodeCamp/freeCodeCamp,PedroRamos360,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,Pedrohugovm,Germany,5990,5299
freeCodeCamp/freeCodeCamp,Pegasoos,United States,5990,5299
freeCodeCamp/freeCodeCamp,PhoenixJenn,United States,5990,5299
freeCodeCamp/freeCodeCamp,PolyCole,United States,5990,5299
freeCodeCamp/freeCodeCamp,PragatiVerma18,India,5990,5299
freeCodeCamp/freeCodeCamp,PrajvalaRC,India,5990,5299
freeCodeCamp/freeCodeCamp,PranotiPD,India,5990,5299
freeCodeCamp/freeCodeCamp,PrashantSakre,India,5990,5299
freeCodeCamp/freeCodeCamp,Prathamesh010,India,5990,5299
freeCodeCamp/freeCodeCamp,Pratheek2474,India,5990,5299
freeCodeCamp/freeCodeCamp,QuantumAna,India,5990,5299
freeCodeCamp/freeCodeCamp,QuincyLarson,United States,5990,5299
freeCodeCamp/freeCodeCamp,Rahul-Srivastava-21,India,5990,5299
freeCodeCamp/freeCodeCamp,RamyasreeSiri,India,5990,5299
freeCodeCamp/freeCodeCamp,RayAsh37,India,5990,5299
freeCodeCamp/freeCodeCamp,ReubenMenezes,India,5990,5299
freeCodeCamp/freeCodeCamp,Riley-Brown,United States,5990,5299
freeCodeCamp/freeCodeCamp,Ritesh2351235,India,5990,5299
freeCodeCamp/freeCodeCamp,Riya267,India,5990,5299
freeCodeCamp/freeCodeCamp,RomeoIndiaJulietUniform,India,5990,5299
freeCodeCamp/freeCodeCamp,S-Guettner,Germany,5990,5299
freeCodeCamp/freeCodeCamp,SaarthakMaini,India,5990,5299
freeCodeCamp/freeCodeCamp,SachinSingh008,India,5990,5299
freeCodeCamp/freeCodeCamp,Sai2421,India,5990,5299
freeCodeCamp/freeCodeCamp,SamuelSHernandez,United States,5990,5299
freeCodeCamp/freeCodeCamp,ShauryaDusht,India,5990,5299
freeCodeCamp/freeCodeCamp,SherylHohman,United States,5990,5299
freeCodeCamp/freeCodeCamp,Shiva-Sai-ssb,India,5990,5299
freeCodeCamp/freeCodeCamp,ShivaKodes,India,5990,5299
freeCodeCamp/freeCodeCamp,ShivaSankeerth,United States,5990,5299
freeCodeCamp/freeCodeCamp,Shiveshdixit07,India,5990,5299
freeCodeCamp/freeCodeCamp,SiddharthaAnand,India,5990,5299
freeCodeCamp/freeCodeCamp,Sonudhukia143,India,5990,5299
freeCodeCamp/freeCodeCamp,StanimalTheMan,United States,5990,5299
freeCodeCamp/freeCodeCamp,StevanFreeborn,United States,5990,5299
