login,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,structural_hole_spanners,developer_profile,absence_impact,degree,is_isolated,country,prs_opened,commits_total,reviews_submitted
adrianheine,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,2.71997,242,False,Germany,22,11,11
rricard,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Core Developer,3.3442500000000006,279,False,United Kingdom,7,5,4
gfabiano,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,1.8133866666666665,242,False,Italy,22,11,2
tklauser,0.0360366168127901,0.0013418331658845,7636.333333333093,0.0028672133997336,0.867289469382725,Core Developer,5.574960000000001,559,False,Switzerland,0,672,1
ClimbsRocks,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Peripheral Developer,1.13655,279,False,United States,4,5,0
slava-sh,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Peripheral Developer,0.2673733333333333,242,False,United Kingdom,2,12,0
pmrowla,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,7.913880000000002,242,False,"Korea, Republic of",2,12,0
sprhawk,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,5.174079999999999,242,False,中国,2,13,1
mjul,0.0179860752965446,0.0,7034.66666666618,0.0205365063156945,0.9436452772821988,Peripheral Developer,0.3106833333333333,279,False,Denmark,3,5,0
matthewjohnston4,0.0179860752965446,0.0,7034.66666666618,0.0205365063156945,0.9436452772821988,Peripheral Developer,0.22275,279,False,Ireland,2,5,0
lalinsky,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,0.6455,242,False,Slovakia,12,15,0
npes87184,0.0041258380608561,0.0,5441.833333332931,3.944275419248558e-05,0.9280956739549032,Core Developer,0.1717,64,False,Taiwan,27,33,21
mitermayer,0.0179860752965446,0.0,7034.66666666618,0.0205365063156945,0.9436452772821988,Core Developer,0.4975666666666667,279,False,Australia,5,5,1
orta,0.0765214027849407,0.0030564988517894,8011.333333333096,0.0541266157609515,0.9385163231901916,Core Developer,400.18797,1187,False,United Kingdom,6,6,4
mattwojo,0.0279783393501805,0.0001018947111922,7476.166666666378,0.0039039166013813,0.7751666811367328,Peripheral Developer,0.4056066666666667,434,False,United States,1,1,0
akx,0.1155234657039711,0.0247994934805884,8452.499999999894,0.0238278237495014,0.9406613451840642,Core Developer,337.17199999999997,1792,False,Finland,91,155,31
Dineshs91,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,13.420306666666669,242,False,India,8,13,0
piranha,0.0179860752965446,0.0,7034.66666666618,0.0205365063156945,0.9436452772821988,Peripheral Developer,1.25708,279,False,Ukraine,6,6,0
bripkens,0.0211449200618875,0.0003478866969474,7119.4999999995425,0.0209712333722289,0.9533922712187016,Core Developer,2.3537600000000003,328,False,Germany,3,6,0
bardiharborow,0.0150850954100051,0.0,6123.416666666041,0.0029258594548082,0.9803792526054116,Core Developer,36.411313333333325,234,False,Australia,69,71,94
devongovett,0.0307503867973182,0.0002878648259059,7229.333333332879,0.0237075247669446,0.9701200974960555,Core Developer,7.88925,477,False,United States,14,6,10
brigand,0.0373904074265085,0.0001674314188248,7545.499999999686,0.0385065536926507,0.9282327380082088,Core Developer,48.49241,580,False,United States,11,6,6
bradfitz,0.0127643115007735,0.0,7090.833333332927,0.0012483957094671,0.8503608980761616,Core Developer,0.0,198,False,United States,0,2389,0
bglopez,0.0019339865910263,0.0,5661.999999999493,0.0001827935756741,0.7977958002290653,Peripheral Developer,1.60834,30,False,New Caledonia,2,27,0
jontewks,0.0373904074265085,0.0001670965559871,7545.499999999686,0.0385065536926507,0.9282327380082088,Core Developer,2.09132,580,False,United States,6,6,0
louismaximepiton,0.0150850954100051,0.0,6123.41666666604,0.0029258594548082,0.9803792526054116,Core Developer,91.92703666666664,234,False,France,121,87,134
jorge-cab,0.0285585353274883,0.0002335030303258,7298.166666666268,0.0239059744574329,0.9671208444047849,Core Developer,137.50650666666667,443,False,United States,49,6,11
yan12125,0.0468024755028365,0.0056181043429062,7680.83333333306,0.0029523198543504,0.9811260613592268,Core Developer,753.1061200000003,726,False,Taiwan,0,0,0
lrowe,0.0340381640020629,0.0001706804614348,7416.999999999627,0.0263935420818864,0.911947624143082,Core Developer,36.62661333333333,528,False,Canada,8,6,0
lyip1992,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Core Developer,0.3873466666666666,279,False,United States,7,6,0
sammy-SC,0.0285585353274883,0.0002335030303258,7298.166666666268,0.0239059744574329,0.9671208444047849,Core Developer,433.0853699999999,443,False,United Kingdom,485,1186,40
makky3939,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Core Developer,0.2591599999999999,279,False,Japan,6,6,0
goggle,0.0255286230015471,0.0006590201577564,7338.499999999653,0.0019012100272589,0.9633769239279014,Core Developer,228.1059333333333,396,False,Sweden,42,25,8
matthewwithanm,0.0179860752965446,0.0,7034.66666666618,0.0205365063156945,0.9436452772821988,Peripheral Developer,3.100153333333333,279,False,Canada,2,6,0
mxstbr,0.0484141309953584,0.0003120764766635,7537.66666666628,0.0469260254090141,0.945629943120849,Core Developer,8.000933333333332,751,False,Canada,6,6,0
qzg,0.0092186694172253,0.0,6465.999999999402,0.0006210379011249,0.5023468192616286,One-time Contributor / Newcomer,0.25619,143,False,United States,1,1,1
NMinhNguyen,0.0644662197008767,0.0015192263619776,7778.999999999686,0.0527125482822486,0.9628483113811908,Core Developer,50.763940000000005,1000,False,United Kingdom,6,6,8
Yukiyukiyeah,0.0092186694172253,0.0,6465.999999999401,0.0006210379011249,0.5023468192616286,Core Developer,97.07216,143,False,United States,46,36,41
pedronauck,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Peripheral Developer,13.024426666666669,279,False,United States,1,6,0
Pouja,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Core Developer,5.6827733333333335,279,False,Netherlands,7,6,0
SamChou19815,0.0285585353274883,0.0002335030303258,7298.166666666268,0.0239059744574329,0.9671208444047849,Core Developer,44.46422666666666,443,False,Canada,6,6,14
jeffcrouse,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,2.9253600000000004,242,False,United States,2,17,0
kaavee315,0.0092186694172253,0.0,6465.999999999401,0.0006210379011249,0.5023468192616286,One-time Contributor / Newcomer,0.7842266666666667,143,False,United States,1,1,0
dittos,0.0321686436307374,0.0003216385305379,7383.999999999626,0.0245247417021215,0.9706378913657276,Core Developer,8.58141,499,False,"Korea, Republic of",2,6,1
jorgectf,0.0092186694172253,0.0,6465.999999999401,0.0006210379011249,0.5023468192616286,One-time Contributor / Newcomer,0.01727,143,False,Spain,1,1,0
andrewdavey,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Peripheral Developer,23.509923333333333,279,False,United Kingdom,3,7,0
szymonprz,0.0019339865910263,0.0,5661.999999999493,0.0001827935756741,0.7977958002290653,Peripheral Developer,0.01952,30,False,Poland,3,2,0
DenrizSusam,0.0426766374419804,0.0011877428894183,7507.333333332955,0.0443553812315801,0.979097590227335,Core Developer,6.742013333333335,662,False,Germany,7,7,0
cobaltt7,0.0184373388344507,0.0,7280.333333333002,0.0044749498620127,0.8960262715035331,Core Developer,14.21784,286,False,United States,32,31,29
kurtenj,0.0092186694172253,0.0,6465.999999999402,0.0006210379011249,0.5023468192616286,Peripheral Developer,1.5402,143,False,United States,5,1,2
henryqdineen,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Core Developer,0.91416,279,False,Morocco,11,7,1
Curt-Park,0.0092186694172253,0.0,6465.999999999402,0.0006210379011249,0.5023468192616286,One-time Contributor / Newcomer,0.0493533333333333,143,False,"Korea, Republic of",1,1,0
KonstHardy,0.0359721505930892,6.86759410544271e-05,7307.166666666226,0.037127206820641,0.9255087509839952,Core Developer,7.963679999999999,558,False,Russia,9,7,0
johnhawkinson,0.033973697782362,0.0015781788709565,7474.333333333009,0.0137424082548995,0.9849635544347078,Core Developer,6.593603333333335,527,False,Morocco,29,21,13
rbalicki2,0.0179860752965446,0.0,7034.666666666181,0.0205365063156945,0.9436452772821988,Core Developer,5.652020000000001,279,False,United States,13,8,6
jialudev,0.0092186694172253,0.0,6465.999999999402,0.0006210379011249,0.5023468192616286,Peripheral Developer,0.02394,143,False,China,2,1,0
gebn,0.0156008251676121,1.316716387699064e-05,6369.499999999405,0.0007283022517929,0.9740878451446024,Core Developer,0.58976,242,False,United Kingdom,2,14,0
hramos,0.0285585353274883,0.0002335030303258,7298.166666666268,0.0239059744574329,0.9671208444047849,Core Developer,7.56425,443,False,Azerbaijan,21,7,13
