login,repo_name,country,country_type,performance_score,pr_accept_rate,pr_accept_rate_norm,prs_opened,prs_opened_norm,commits_total,commits_total_norm,activity_frequency,activity_frequency_norm
tklauser,go,Switzerland,developed,0.015689375255987847,0.0,0.0,0,0.0,672,0.022077666075300612,1.841095890410959,0.022077666075300612
yan12125,yt-dlp,Taiwan,developed,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
bradfitz,go,United States,developed,0.05577666292642108,0.0,0.0,0,0.0,2389,0.07848741704448386,6.545205479452055,0.07848741704448388
sammy-SC,react-native,United Kingdom,developed,0.04581738622553006,0.0,0.0,485,0.06542560366922973,1186,0.03896445232932519,3.249315068493151,0.03896445232932519
SamChou19815,react,Canada,developed,0.012649162692220309,100.0,1.0,6,0.0008093889113719142,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
pmrowla,youtube-dl,"Korea, Republic of",developed,0.012639741190118892,100.0,1.0,2,0.0002697963037906381,12,0.0003942440370589395,0.0328767123287671,0.0003942440370589392
jontewks,react,United States,developed,0.012649162692220309,100.0,1.0,6,0.0008093889113719142,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
goggle,youtube-dl,Sweden,developed,0.006540396457285043,35.71,0.35710000000000003,42,0.0056657223796034,25,0.0008213417438727906,0.0684931506849315,0.0008213417438727906
npes87184,scrcpy,Taiwan,developed,0.00587415145375634,33.33,0.3333,27,0.003642250101173614,33,0.0010841711019120837,0.0904109589041095,0.0010841711019120824
andrewdavey,react,United Kingdom,developed,0.008465850173571203,66.67,0.6667000000000001,3,0.0004046944556859571,7,0.00022997568828438136,0.0191780821917808,0.0002299756882843811
matthewjohnston4,react,Ireland,developed,0.006333899612888362,50.0,0.5,2,0.0002697963037906381,5,0.0001642683487745581,0.0136986301369863,0.0001642683487745581
qzg,langflow,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
mattwojo,PowerToys,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
bardiharborow,bootstrap,Australia,developed,0.01527576237851995,89.86,0.8986,69,0.009307972480777013,71,0.002332610552598725,0.1945205479452054,0.0023326105525987243
ClimbsRocks,react,United States,developed,0.012551062802741101,100.0,1.0,4,0.0005395926075812762,5,0.0001642683487745581,0.0136986301369863,0.0001642683487745581
pedronauck,react,United States,developed,0.012462281180040103,100.0,1.0,1,0.00013489815189531904,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
cobaltt7,black,United States,developed,0.013821342250232713,96.88,0.9688,32,0.004316740860650209,31,0.0010184637624022603,0.084931506849315,0.0010184637624022594
dittos,react,"Korea, Republic of",developed,0.012499657482476143,100.0,1.0,2,0.0002697963037906381,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
adrianheine,youtube-dl,Germany,developed,0.006662550006018699,45.45,0.4545,22,0.0029677593416970187,11,0.00036139036730402786,0.0301369863013698,0.00036139036730402715
mitermayer,react,Australia,developed,0.012588439105177143,100.0,1.0,5,0.0006744907594765951,5,0.0001642683487745581,0.0136986301369863,0.0001642683487745581
devongovett,react,United States,developed,0.005928626295192746,42.86,0.4286,14,0.0018885741265344666,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
gfabiano,youtube-dl,Italy,developed,0.006104819124902456,40.91,0.40909999999999996,22,0.0029677593416970187,11,0.00036139036730402786,0.0301369863013698,0.00036139036730402715
piranha,react,Ukraine,emerging,0.006506752107239652,50.0,0.5,6,0.0008093889113719142,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
jeffcrouse,youtube-dl,United States,developed,0.00661406702817386,50.0,0.5,2,0.0002697963037906381,17,0.0005585123858334976,0.0465753424657534,0.0005585123858334974
rricard,react,United Kingdom,developed,0.00915341830179128,71.43,0.7143,7,0.0009442870632672333,5,0.0001642683487745581,0.0136986301369863,0.0001642683487745581
szymonprz,cheat.sh,Poland,emerging,0.012443644646483685,100.0,1.0,3,0.0004046944556859571,2,6.570733950982325e-05,0.0054794520547945,6.5707339509823e-05
sprhawk,youtube-dl,中国,developed,0.006520677889745361,50.0,0.5,2,0.0002697963037906381,13,0.0004270977068138511,0.0356164383561643,0.0004270977068138501
louismaximepiton,bootstrap,France,developed,0.015386532776783049,71.9,0.7190000000000001,121,0.016322676379333604,87,0.0028582692686773114,0.2383561643835616,0.002858269268677311
matthewwithanm,react,Canada,developed,0.006357246897495487,50.0,0.5,2,0.0002697963037906381,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
bglopez,cheat.sh,New Caledonia,developed,0.012989950459225762,100.0,1.0,2,0.0002697963037906381,27,0.0008870490833826139,0.073972602739726,0.0008870490833826135
lrowe,react,Canada,developed,0.009652710004602065,75.0,0.75,8,0.0010791852151625524,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
jorgectf,langflow,Spain,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
bripkens,react,Germany,developed,0.012537033784912185,100.0,1.0,3,0.0004046944556859571,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
NMinhNguyen,react,United Kingdom,developed,0.012649162692220309,100.0,1.0,6,0.0008093889113719142,6,0.00019712201852946975,0.0164383561643835,0.00019712201852946902
kurtenj,langflow,United States,developed,0.002667193030779594,20.0,0.2,5,0.0006744907594765951,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
