repo_name,repo_id,repo_url,login,profile_url,location,country
bootstrap,2126244,https://github.com/twbs/bootstrap,acmetech,https://github.com/acmetech,"North Carolina, USA",United States
flutter,31792824,https://github.com/flutter/flutter,iskakaushik,https://github.com/iskakaushik,"Austin, TX",United States
next.js,70107786,https://github.com/vercel/next.js,ijjk,https://github.com/ijjk,"San Francisco, CA",United States
pytorch,65600975,https://github.com/pytorch/pytorch,jeffdaily,https://github.com/jeffdaily,"Richland, WA",United States
tensorflow,45717250,https://github.com/tensorflow/tensorflow,mihaimaruseac,https://github.com/mihaimaruseac,San Francisco,United States
vue,11730342,https://github.com/vuejs/vue,chrisvfritz,https://github.com/chrisvfritz,"Durham, NC, USA",United States
vite,257485422,https://github.com/vitejs/vite,tony19,https://github.com/tony19,USA,United States
ChatGPT,575340621,https://github.com/lencx/ChatGPT,asheroto,https://github.com/asheroto,United States,United States
transformers,155220641,https://github.com/huggingface/transformers,bhadreshpsavani,https://github.com/bhadreshpsavani,"Pune, India",India
Python,63476337,https://github.com/TheAlgorithms/Python,ruppysuppy,https://github.com/ruppysuppy,"Kolkata, West Bengal, India",India
developer-roadmap,85077558,https://github.com/kamranahmedse/developer-roadmap,AbdelrhmanX7,https://github.com/AbdelrhmanX7,San Francisco,United States
system-design-primer,83222441,https://github.com/donnemartin/system-design-primer,donnemartin,https://github.com/donnemartin,"Washington, D.C.",United States
react,10270250,https://github.com/facebook/react,jquense,https://github.com/jquense,New Jersey,United States
javascript-algorithms,126577260,https://github.com/trekhleb/javascript-algorithms,avi09,https://github.com/avi09,"Raleigh, North Carolina",United States
ohmyzsh,291137,https://github.com/ohmyzsh/ohmyzsh,robbyrussell,https://github.com/robbyrussell,"Portland, Oregon USA",United States
AutoGPT,614765452,https://github.com/Significant-Gravitas/AutoGPT,Abhi1992002,https://github.com/Abhi1992002,India,India
vscode,41881900,https://github.com/microsoft/vscode,rwe,https://github.com/rwe,"Seattle, WA",United States
awesome-go,21540759,https://github.com/avelino/awesome-go,hexdigest,https://github.com/hexdigest,"Rochester, NY",United States
ollama,658928958,https://github.com/ollama/ollama,amithkoujalgi,https://github.com/amithkoujalgi,Bangalore,India
n8n,193215554,https://github.com/n8n-io/n8n,Shraddha2104,https://github.com/Shraddha2104,California,United States
