repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,reviews_submitted,stars_own_repos,stars_contrib_repos,contribution_period,activity_frequency,activity_regularidade,permission_level
go,https://github.com/golang/go,tklauser,https://github.com/tklauser,Switzerland,Switzerland,0,0,0.0,0.0,672,40,1,196,0.0,67,1.841095890410959,1.841095890410959,contributor
yt-dlp,https://github.com/yt-dlp/yt-dlp,yan12125,https://github.com/yan12125,"Taipei, Taiwan",Taiwan,0,0,0.0,0.0,0,0,0,198,0.0,0,0.0,0.0,viewer
go,https://github.com/golang/go,bradfitz,https://github.com/bradfitz,Seattle,United States,0,0,0.0,0.0,2389,1522,0,11470,0.0,238,6.545205479452055,6.545205479452055,contributor
react-native,https://github.com/facebook/react-native,sammy-SC,https://github.com/sammy-SC,"London, United Kingdom",United Kingdom,485,0,0.0,0.0,1186,0,40,21,0.0,118,3.249315068493151,3.249315068493151,contributor
react,https://github.com/facebook/react,SamChou19815,https://github.com/SamChou19815,Toronto,Canada,6,6,100.0,66.83,6,0,14,74,115.47,1,0.01643835616438356,0.01643835616438356,contributor
youtube-dl,https://github.com/ytdl-org/youtube-dl,pmrowla,https://github.com/pmrowla,"Seoul, KR","Korea, Republic of",2,2,100.0,439.66,12,0,0,62,173.9,1,0.03287671232876712,0.03287671232876712,contributor
react,https://github.com/facebook/react,jontewks,https://github.com/jontewks,"Austin, TX",United States,6,6,100.0,81.09,6,0,0,522,115.47,1,0.01643835616438356,0.01643835616438356,contributor
youtube-dl,https://github.com/ytdl-org/youtube-dl,goggle,https://github.com/goggle,"Stockholm, Sweden",Sweden,42,15,35.71,67.52,25,13,8,209,1304.29,2,0.0684931506849315,0.0684931506849315,contributor
scrcpy,https://github.com/Genymobile/scrcpy,npes87184,https://github.com/npes87184,Taiwan,Taiwan,27,9,33.33,1.7,33,4,21,64,10412.52,3,0.09041095890410959,0.09041095890410959,contributor
react,https://github.com/facebook/react,andrewdavey,https://github.com/andrewdavey,UK,United Kingdom,3,2,66.67,1906.21,7,1,0,2290,38.49,1,0.019178082191780823,0.019178082191780823,contributor
react,https://github.com/facebook/react,matthewjohnston4,https://github.com/matthewjohnston4,"Dublin, Ireland",Ireland,2,1,50.0,26.73,5,0,0,36,19.24,1,0.0136986301369863,0.0136986301369863,contributor
langflow,https://github.com/langflow-ai/langflow,qzg,https://github.com/qzg,"Houston, TX",United States,1,1,100.0,69.87,1,1,1,22,26.86,1,0.0027397260273972603,0.0027397260273972603,contributor
