repo_name,repo_id,repo_url,login,profile_url,location,country
build-your-own-x,132750724,https://github.com/codecrafters-io/build-your-own-x,toolboc,https://github.com/toolboc,Houston,United States
freeCodeCamp,28457823,https://github.com/freeCodeCamp/freeCodeCamp,erictleung,https://github.com/erictleung,"New York, NY",United States
awesome,21737465,https://github.com/sindresorhus/awesome,felipebueno,https://github.com/felipebueno,"Interior de SP, Brasil",Brazil
free-programming-books,13491895,https://github.com/EbookFoundation/free-programming-books,Akhilan,https://github.com/Akhilan,"Kollam, Kerala",India
public-apis,54346799,https://github.com/public-apis/public-apis,karllhughes,https://github.com/karllhughes,"Chicago, IL",United States
developer-roadmap,85077558,https://github.com/kamranahmedse/developer-roadmap,AbdelrhmanX7,https://github.com/AbdelrhmanX7,San Francisco,United States
coding-interview-university,60493101,https://github.com/jwasham/coding-interview-university,varunu28,https://github.com/varunu28,"Sunnyvale, California",United States
system-design-primer,83222441,https://github.com/donnemartin/system-design-primer,hulikau,https://github.com/hulikau,Dubai,Brazil
996.ICU,177736533,https://github.com/996icu/996.ICU,PerrySong,https://github.com/PerrySong,Seattle,United States
awesome-python,21289110,https://github.com/vinta/awesome-python,ouiliame,https://github.com/ouiliame,"Los Angeles, CA",United States
awesome-selfhosted,36633370,https://github.com/awesome-selfhosted/awesome-selfhosted,muety,https://github.com/muety,"Karlsruhe, Germany",Germany
project-based-learning,88011908,https://github.com/practical-tutorials/project-based-learning,daoanhnhat1995,https://github.com/daoanhnhat1995,NYC,United States
react,10270250,https://github.com/facebook/react,jquense,https://github.com/jquense,New Jersey,Brazil
Python,63476337,https://github.com/TheAlgorithms/Python,ruppysuppy,https://github.com/ruppysuppy,"Kolkata, West Bengal, India",India
vue,11730342,https://github.com/vuejs/vue,chrisvfritz,https://github.com/chrisvfritz,"Durham, NC, USA",United States
computer-science,19415064,https://github.com/ossu/computer-science,pulkitkrishna00,https://github.com/pulkitkrishna00,India,India
javascript-algorithms,126577260,https://github.com/trekhleb/javascript-algorithms,avi09,https://github.com/avi09,"Raleigh, North Carolina",United States
tensorflow,45717250,https://github.com/tensorflow/tensorflow,mihaimaruseac,https://github.com/mihaimaruseac,San Francisco,United States
the-book-of-secret-knowledge,138393139,https://github.com/trimstray/the-book-of-secret-knowledge,sebres,https://github.com/sebres,"Germany, Hamburg, Hamburg",Germany
You-Dont-Know-JS,14440270,https://github.com/getify/You-Dont-Know-JS,ljharb,https://github.com/ljharb,"Hillsborough, CA",United States
CS-Notes,121395510,https://github.com/CyC2018/CS-Notes,youmark,https://github.com/youmark,"San Jose, CA",United States
ohmyzsh,291137,https://github.com/ohmyzsh/ohmyzsh,robbyrussell,https://github.com/robbyrussell,"Portland, Oregon USA",United States
AutoGPT,614765452,https://github.com/Significant-Gravitas/AutoGPT,chozzz,https://github.com/chozzz,Bali,Brazil
vscode,41881900,https://github.com/microsoft/vscode,rwe,https://github.com/rwe,"Seattle, WA",United States
flutter,31792824,https://github.com/flutter/flutter,iskakaushik,https://github.com/iskakaushik,"Austin, TX",United States
bootstrap,2126244,https://github.com/twbs/bootstrap,acmetech,https://github.com/acmetech,"North Carolina, USA",United States
gitignore,1062897,https://github.com/github/gitignore,denisdefreyne,https://github.com/denisdefreyne,"Berlin, Germany",Germany
the-art-of-command-line,35955666,https://github.com/jlevy/the-art-of-command-line,niltonvasques,https://github.com/niltonvasques,"Salvador, BA - Brasil",Brazil
